Week,  thermoscan,  is flu contagious,  strep,  walking pneumonia,  influenza symptoms,  sinus infections,  upper respiratory,  strep throat,  symptoms of bronchitis,  how long does flu last,  flu fever,  expectorant,  how long contagious,  how to get rid of the flu,  treat flu,  sinus,  reduce fever,  how to treat flu,  contagious flu,  flu or cold,  oscillococcinum,  flu symptoms,  cold and flu,  fever flu,  flu and fever,  get rid of the flu,  medicine for flu,  treatment for flu,  reduce a fever,  how long is flu contagious,  high fever,  acute bronchitis,  flu remedies,  dangerous fever,  flu incubation period,  flu treatment,  tessalon,  body temperature,  fever cough,  flu test,  robitussin,  break a fever,  the flu virus,  normal body temperature,  symptoms of pneumonia,  tussin,  how long does the flu last,  chest cold,  remedies for flu,  flu contagious,  symptoms of influenza,  i have the flu,  cough fever,  how long is the flu,  a influenza,  flu cough,  signs of flu,  do i have the flu,  tussionex,  signs of the flu,  flu incubation,  flu in children,  taking temperature,  pneumonia,  flu headache,  fever reducer,  bronchitis,  symptoms of flu,  flu and cold,  flu care,  ear thermometer,  the flu,  flu how long,  braun thermoscan,  cold vs flu,  flu children,  human temperature,  cold or flu,  influenza a,  flu vs cold,  cure flu,  normal body,  flu medicine,  how long flu,  symptoms of the flu,  low body
2004-01-10,  0,  0,  48,  0,  0,  0,  0,  50,  0,  0,  43,  0,  0,  0,  0,  61,  0,  0,  0,  0,  0,  4,  0,  43,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  48,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  62,  0,  0,  46,  3,  0,  0,  0,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  53,  0,  0,  0,  79
2004-01-17,  0,  0,  54,  51,  0,  0,  0,  49,  0,  0,  0,  0,  0,  0,  0,  54,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  47,  0,  0,  29,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  41,  0,  0,  28,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  57
2004-01-24,  0,  0,  46,  57,  0,  41,  0,  42,  0,  0,  0,  0,  0,  0,  0,  53,  0,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  63,  0,  0,  45,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  36,  0,  0,  33,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  41,  0,  0,  0,  61
2004-01-31,  0,  0,  50,  63,  0,  45,  0,  43,  0,  0,  0,  0,  0,  0,  0,  52,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  51,  0,  0,  30,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  48,  0,  0,  29,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  39,  0,  0,  0,  62
2004-02-07,  0,  0,  53,  44,  0,  34,  0,  51,  0,  0,  0,  0,  0,  0,  0,  49,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  43,  0,  0,  44,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  36,  0,  0,  22,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  46
2004-02-14,  0,  0,  60,  50,  0,  34,  0,  53,  0,  0,  0,  0,  0,  0,  0,  52,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  49,  0,  0,  28,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  38,  0,  0,  28,  0,  0,  0,  0,  3,  0,  0,  0,  0,  0,  0,  0,  0,  0,  52,  0,  0,  0,  46
2004-02-21,  0,  0,  54,  45,  0,  34,  0,  42,  0,  0,  0,  0,  0,  0,  0,  52,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  53,  0,  0,  34,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  36,  0,  0,  26,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  62
2004-02-28,  0,  0,  64,  45,  0,  35,  0,  56,  0,  0,  0,  0,  0,  0,  0,  58,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  39,  0,  0,  42,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  40,  0,  0,  33,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  47
2004-03-06,  0,  0,  57,  0,  0,  32,  0,  48,  0,  0,  0,  0,  0,  0,  0,  65,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  30,  0,  0,  23,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  36,  0,  0,  28,  0,  0,  0,  0,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  69
2004-03-13,  0,  0,  59,  0,  0,  32,  0,  55,  0,  0,  0,  0,  0,  0,  0,  58,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  44,  0,  0,  23,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  39,  0,  0,  31,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  46,  0,  0,  0,  54
