State,Abbre,Population,Region
Alaska,AK,"710,231",10
Alabama,AL,"4,779,736",4
Arkansas,AR,"2,915,918",6
Arizona,AZ,"6,392,017",9
California,CA,"37,253,956",9
Colorado,CO,"5,029,196",8
Connecticut,CT,"3,574,097",1
District of Columbia,DC,"601,723",3
Delaware,DE,"897,934",3
Florida,FL,"18,801,310",4
Georgia,GA,"9,687,653",4
Hawaii,HI,"1,360,301",9
Iowa,IA,"3,046,355",7
Idaho,ID,"1,567,582",10
Illinois,IL,"12,830,632",5
Indiana,IN,"6,483,802",5
Kansas,KS,"2,853,118",7
Kentucky,KY,"4,339,367",4
Louisiana,LA,"4,533,372",6
Massachusetts,MA,"6,547,629",1
Maryland,MD,"5,773,552",3
Maine,ME,"1,328,361",1
Michigan,MI,"9,883,640",5
Minnesota,MN,"5,303,925",5
Missouri,MO,"5,988,927",7
Mississippi,MS,"2,967,297",4
Montana,MT,"989,415",8
North Carolina,NC,"9,535,483",4
North Dakota,ND,"672,591",8
Nebraska,NE,"1,826,341",7
New Hampshire,NH,"1,316,470",1
New Jersey,NJ,"8,791,894",2
New Mexico,NM,"2,059,179",6
Nevada,NV,"2,700,551",9
New York,NY,"19,378,102",2
Ohio,OH,"11,536,504",5
Oklahoma,OK,"3,751,351",6
Oregon,OR,"3,831,074",10
Pennsylvania,PA,"12,702,379",3
Rhode Island,RI,"1,052,567",1
South Carolina,SC,"4,625,364",4
South Dakota,SD,"814,180",8
Tennessee,TN,"6,346,105",4
Texas,TX,"25,145,561",6
Utah,UT,"2,763,885",8
Virginia,VA,"8,001,024",3
Vermont,VT,"625,741",1
Washington,WA,"6,724,540",10
Wisconsin,WI,"5,686,986",5
West Virginia,WV,"1,852,994",3
Wyoming,WY,"563,626",8
